klucz,nazwa,aliasy,zrodlo,zrodlo_id,gestosc_g_ml,pomijalny,zrodlo_nazwa,kcal,bialko,tluszcz,weglowodany
cytryna,cytryna,cytryna|cytryny|cytrynę|cytryn,ciqual,13009,,0,"Citron, chair sans peau, sans pépins, cru",24.3,0.25,0,1.56
sok_z_cytryny,sok z cytryny,sok z cytryny|soku z cytryny|sok cytrynowy|soku cytrynowego|sok z połówki cytryny|sok z 1 cytryny,ciqual,2007,1.03,0,"Jus de citron, fait maison",28.6,0.35,0.24,2.52
skorka_cytryny,skórka z cytryny,skórka z cytryny|skórki z cytryny|otarta skórka z cytryny|otartej skórki z cytryny|skórka cytrynowa|skórki cytrynowej,usda,167749,,1,"Lemon peel, raw",47,1.5,0.3,16
pomarancza,pomarańcza,pomarańcza|pomarańczy|pomarańcze|pomarańcz,ciqual,13034,,0,"Orange, chair sans peau, sans pépins, crue",42,0.75,0,8.03
sok_pomaranczowy,sok pomarańczowy,sok pomarańczowy|soku pomarańczowego|sok z pomarańczy|soku z pomarańczy,ciqual,2070,1.04,0,"Jus d'orange, pur jus",45.4,0.61,0.11,9.61
banan,banan,banan|banana|banany|bananów,ciqual,13005,,0,"Banane, chair sans peau, crue",87.6,1.06,0,19.7
rodzynki,rodzynki,rodzynki|rodzynek|rodzynkami,ciqual,13046,0.65,0,Raisin sec,322,3,0.9,73.2
powidla,powidła,powidła|powideł|powidła śliwkowe|powideł śliwkowych,ciqual,31053,1.3,0,"Confiture de prune, par ex. mirabelle, quetsche, reine-claude (extra ou classique)",240,0.28,0.09,58.9
dzem,dżem,dżem|dżemu|konfitura|konfitury|dżem truskawkowy|dżemu truskawkowego|dżem wiśniowy|dżemu wiśniowego|marmolada|marmolady,ciqual,30887,1.3,0,"Confiture, autres fruits ou mélange de fruits, allégée en sucres (extra ou classique)",162,0.75,0.21,38
mus_jablkowy,mus jabłkowy,mus jabłkowy|musu jabłkowego|prażone jabłka|prażonych jabłek,ciqual,13187,1.05,0,"Purée de pommes, type ""compote sans sucres ajoutés"", rayon ambiant",56.4,1.13,0.28,11.6
sok_jablkowy,sok jabłkowy,sok jabłkowy|soku jabłkowego,ciqual,2074,1.04,0,"Jus de pomme, pur jus",48.9,0.17,0.14,11.4
orzechy_wloskie,orzechy włoskie,orzechy|orzechów|orzechy włoskie|orzechów włoskich|orzech włoski|włoskie orzechy|włoskich orzechów,ciqual,15005,0.45,0,"Noix, cerneau, séchée",709,13.3,67.3,6.88
orzechy_laskowe,orzechy laskowe,orzechy laskowe|orzechów laskowych|laskowe orzechy|laskowych orzechów,ciqual,15004,0.55,0,"Noisette, sans sel ajouté",632,14.4,56.9,7.16
migdaly,migdały,migdały|migdałów|płatki migdałów|płatków migdałów|płatki migdałowe|płatków migdałowych|mielone migdały|mielonych migdałów,ciqual,15041,0.45,0,"Amande, émondée, sans sel ajouté",631,21.4,52.5,8.76
mak,mak,mak|maku|mak niebieski|maku niebieskiego|mielony mak|mielonego maku,ciqual,11061,0.55,0,"Pavot, graine",534,21.2,41.6,13.7
slonecznik,słonecznik,słonecznik|słonecznika|pestki słonecznika|pestek słonecznika|ziarna słonecznika|ziaren słonecznika,ciqual,15011,0.55,0,"Tournesol, graine",653,21.3,55.5,10.1
sezam,sezam,sezam|sezamu|ziarna sezamu|ziaren sezamu,ciqual,15010,0.6,0,"Sésame, graine",606,17.7,49.7,12.8
siemie_lniane,siemię lniane,siemię lniane|siemienia lnianego|len|lnu,ciqual,15034,0.6,0,"Lin, graine",528,19,40.3,6.49
wiorki_kokosowe,wiórki kokosowe,wiórki kokosowe|wiórków kokosowych|wiórki|wiórków,ciqual,15007,0.35,0,"Noix de coco, chair, sèche",692,6.83,66.8,7.81
ryz,ryż,ryż|ryżu|ryżem|ryż biały|ryżu białego|biały ryż|białego ryżu|ryż długoziarnisty|ryżu długoziarnistego|ryż basmati|ryżu basmati|ryż jaśminowy|ryżu jaśminowego|ryż okrągłoziarnisty|ryżu okrągłoziarnistego|ryż arborio|ryżu arborio,ciqual,9100,0.8,0,"Riz blanc, cru",350,7.02,0.79,77.5
kasza_gryczana,kasza gryczana,kasza gryczana|kaszy gryczanej|kaszą gryczaną|gryka|gryki|kasza gryczana prażona|kaszy gryczanej prażonej,usda,170685,0.7,0,"Buckwheat groats, roasted, dry",346,11.73,2.71,74.95
kasza_jeczmienna,kasza jęczmienna,kasza jęczmienna|kaszy jęczmiennej|pęczak|pęczaku|kasza perłowa|kaszy perłowej|kasza pęczak|kaszy pęczak|kasza mazurska|kaszy mazurskiej,ciqual,9321,0.8,0,"Orge perlée, crue",346,9.91,1.16,68.6
kasza_jaglana,kasza jaglana,kasza jaglana|kaszy jaglanej|jagła|jagły|proso|prosa,usda,169702,0.8,0,"Millet, raw",378,11.02,4.22,72.85
kasza_manna,kasza manna,kasza manna|kaszy manny|kaszy mannej|kaszka manna|kaszki manny|grysik|grysiku,ciqual,9610,0.7,0,"Semoule de blé dur, crue",350,11.8,1.28,69.8
platki_owsiane,płatki owsiane,płatki owsiane|płatków owsianych|owsianka|płatki owsiane górskie|płatków owsianych górskich|płatki górskie|płatków górskich,ciqual,32140,0.35,0,Flocons d'avoine,369,10.6,7.82,57.7
makaron,makaron,makaron|makaronu|makaronem|makaron spaghetti|makaronu spaghetti|spaghetti|penne|świderki|świderków|kokardki|kokardek|łazanki|łazanek|makaron rurki|makaronu rurki|makaron łazanki|makaronu łazanki,ciqual,9810,,0,"Pâtes sèches, standard, crues",364,12,1.6,72.7
makaron_jajeczny,makaron jajeczny,makaron jajeczny|makaronu jajecznego|nitki|nitek|makaron nitki|makaronu nitki|lane kluski|makaron domowy|makaronu domowego,ciqual,9821,,0,"Pâtes sèches, aux oeufs, crues",381,14,4.72,68
chleb,chleb,chleb|chleba|chlebem|chleb pszenny|chleba pszennego|chleb wiejski|chleba wiejskiego|chleb czerstwy|czerstwy chleb|czerstwego chleba|chleb pszenno-żytni|chleba pszenno-żytniego|kromka chleba|kromki chleba|kromek chleba,ciqual,7100,,0,Pain de campagne,253,7.52,1.3,50
chleb_zytni,chleb żytni,chleb żytni|chleba żytniego|chleb razowy|chleba razowego|żytni chleb|żytniego chleba|razowy chleb|razowego chleba|chleb ciemny|chleba ciemnego|ciemny chleb|ciemnego chleba|ciemniejszy chleb,usda,172684,,0,"Bread, rye",259,8.5,3.3,48.3
bulka,bułka,bułka|bułki|bułek|bułką|bułka pszenna|bułki pszennej|kajzerka|kajzerki|czerstwa bułka|czerstwej bułki|bułka czerstwa|bułki czerstwej|bagietka|bagietki,ciqual,7001,,0,"Pain blanc (par ex. : baguette, boule…)",287,8.27,1.4,58.3
bulka_tarta,bułka tarta,bułka tarta|bułki tartej|bułką tartą|tarta bułka|tartej bułki,ciqual,7500,0.45,0,Chapelure,365,9.41,1.6,74.3
chalka,chałka,chałka|chałki|drożdżówka|drożdżówki,ciqual,7225,,0,"Pain brioché ou viennois, artisanal",338,8.89,11.2,48.6
biszkopty,biszkopty,biszkopty|biszkoptów|podłużne biszkopty|podłużnych biszkoptów,ciqual,24430,,0,Biscuit sec aux oeufs à la cuillère (cuiller) ou boudoir,366,7.75,3.4,74.5
fasola_sucha,fasola biała sucha,fasola|fasoli|fasola biała|fasoli białej|biała fasola|białej fasoli|fasola sucha|fasoli suchej|sucha fasola|suchej fasoli|fasola jaś|fasoli jaś|jaś|fasola piękny jaś|fasoli piękny jaś,ciqual,20501,0.8,0,"Haricot blanc, sec",307,23.4,0.85,43.9
fasola_czerwona_puszka,fasola czerwona z puszki,fasola czerwona|fasoli czerwonej|czerwona fasola|czerwonej fasoli|fasola z puszki|fasoli z puszki|fasola konserwowa|fasoli konserwowej,ciqual,20524,,0,"Haricot rouge, appertisé, égoutté",108,8.31,0.97,13
groch,groch łuskany,groch|grochu|grochem|groch łuskany|grochu łuskanego|groch połówki|grochu połówki|żółty groch|żółtego grochu,ciqual,20515,0.8,0,"Pois cassé, sec",347,23.8,1.16,47.5
soczewica,soczewica,soczewica|soczewicy|soczewicą|soczewica czerwona|soczewicy czerwonej|czerwona soczewica|czerwonej soczewicy|soczewica zielona|soczewicy zielonej,ciqual,20585,0.8,0,"Lentille verte, sèche",327,25.1,1.8,44.5
ciecierzyca,ciecierzyca z puszki,ciecierzyca|ciecierzycy|cieciorka|cieciorki|ciecierzyca z puszki|ciecierzycy z puszki,ciqual,20532,,0,"Pois chiche, appertisé, égoutté",122,6.74,2.68,15
ciecierzyca_sucha,ciecierzyca sucha,ciecierzyca sucha|ciecierzycy suchej|sucha ciecierzyca|suchej ciecierzycy,ciqual,20516,0.8,0,"Pois chiche, sec",350,20.5,6.04,47.5
kurczak,kurczak (mięso ze skórą),kurczak|kurczaka|kurczakiem|kura|kury|kurę|kurczak zagrodowy|kurczaka zagrodowego|kura rosołowa|kury rosołowej|kawałki kurczaka|kawałków kurczaka|mięso z kurczaka|mięsa z kurczaka|porcja rosołowa|porcji rosołowej|porcje rosołowe,ciqual,36016,,0,"Poulet, viande et peau crues",173,21.5,9.54,0.3
piers_kurczaka,pierś z kurczaka,pierś z kurczaka|piersi z kurczaka|piersią z kurczaka|filet z kurczaka|filety z kurczaka|filetu z kurczaka|filetów z kurczaka|pierś kurczaka|piersi kurczaka|filet z piersi kurczaka|filety z piersi kurczaka,ciqual,36017,,0,"Poulet, filet sans peau cru",110,23.4,1.5,0
udko_kurczaka,udko z kurczaka,udko|udka|udek|udko z kurczaka|udka z kurczaka|udek z kurczaka|podudzie|podudzia|podudzi|ćwiartka z kurczaka|ćwiartki z kurczaka|udziec z kurczaka|udźce z kurczaka,ciqual,36002,,0,"Poulet, cuisse, viande et peau crue",192,17.3,13.5,0
indyk,pierś z indyka,indyk|indyka|pierś z indyka|piersi z indyka|filet z indyka|filetu z indyka|mięso z indyka|mięsa z indyka,ciqual,36304,,0,"Dinde, escalope crue",108,23.7,1.48,0
watrobka,wątróbka drobiowa,wątróbka|wątróbki|wątróbek|wątróbka drobiowa|wątróbki drobiowej|wątróbek drobiowych|wątróbka z kurczaka|wątróbki z kurczaka,ciqual,40111,,0,"Foie, poulet, cru",114,16.9,4.83,0.73
zoladki,żołądki drobiowe,żołądki|żołądków|żołądki drobiowe|żołądków drobiowych|żołądki z kurczaka,ciqual,40700,,0,"Gésier, poulet, cru",99.1,16.8,3.53,0
kaczka,kaczka,kaczka|kaczki|kaczkę|udko z kaczki|udka z kaczki|pierś z kaczki|piersi z kaczki,ciqual,36200,,0,"Canard, viande et peau rôties/cuites au four",331,19,28.4,0
schab,schab,schab|schabu|schabem|schab bez kości|schabu bez kości|kotlet schabowy|kotlety schabowe|kotletów schabowych,ciqual,28100,,0,"Porc, côte crue",164,19.8,9.3,0.38
karkowka,karkówka,karkówka|karkówki|karkówkę|karczek|karczku|karczek wieprzowy|karczku wieprzowego,ciqual,28302,,0,"Porc, échine crue",238,17.1,18.8,0.1
lopatka,łopatka wieprzowa,łopatka|łopatki|łopatka wieprzowa|łopatki wieprzowej|mięso wieprzowe|mięsa wieprzowego|wieprzowina|wieprzowiny,ciqual,28001,,0,"Porc, épaule crue",178,18.9,11.2,0.38
poledwiczka,polędwiczka wieprzowa,polędwiczka|polędwiczki|polędwiczka wieprzowa|polędwiczki wieprzowej|polędwiczki wieprzowe,ciqual,28204,,0,"Porc, filet mignon cru",123,21.2,4.09,0.4
mieso_mielone,mięso mielone wieprzowe,mięso mielone|mięsa mielonego|mielone|mielonego|mięso mielone wieprzowe|mięsa mielonego wieprzowego|mielone wieprzowe|mielonego wieprzowego|mięso mielone wieprzowo-wołowe|mięsa mielonego wieprzowo-wołowego|mielone mieszane|mielonego mieszanego,usda,167902,,0,"Pork, fresh, ground, raw",263,16.88,21.19,0
mieso_mielone_wolowe,mięso mielone wołowe,mięso mielone wołowe|mięsa mielonego wołowego|mielona wołowina|mielonej wołowiny|wołowina mielona|wołowiny mielonej,ciqual,6254,,0,"Boeuf, steak haché 15% MG cru",215,20.2,14.8,0.47
wolowina,wołowina,wołowina|wołowiny|wołowinę|mięso wołowe|mięsa wołowego|wołowina gulaszowa|wołowiny gulaszowej|plastry wołowiny|plastrów wołowiny|zrazowa|zrazowej|wołowina zrazowa|wołowiny zrazowej|udziec wołowy|udźca wołowego|mostek wołowy|mostka wołowego|szponder|szpondra|pręga wołowa|pręgi wołowej|łata wołowa|łaty wołowej,ciqual,6231,,0,"Boeuf, à bourguignon ou pot-au-feu, cru",164,24,7.5,0
cielecina,cielęcina,cielęcina|cielęciny|cielęcinę|mięso cielęce|mięsa cielęcego,ciqual,6521,,0,"Veau, escalope crue",114,20.5,3.28,0.58
krolik,królik,królik|królika|mięso z królika|mięsa z królika,ciqual,34001,,0,"Lapin, viande crue",188,20.4,11.6,0.58
jagniecina,jagnięcina,jagnięcina|jagnięciny|baranina|baraniny,ciqual,21502,,0,"Agneau, gigot cru",128,20,5.13,0.48
boczek,boczek wędzony,boczek|boczku|boczkiem|boczek wędzony|boczku wędzonego|wędzony boczek|wędzonego boczku|słonina|słoniny|skwarki|skwarek|bekon|bekonu,ciqual,28502,,0,"Poitrine de porc en salaison, fumée, crue",303,15.6,26.1,0.79
boczek_surowy,boczek surowy,boczek surowy|boczku surowego|surowy boczek|surowego boczku|boczek świeży|boczku świeżego|żeberka|żeberek|żeberka wieprzowe|żeberek wieprzowych,ciqual,28002,,0,"Porc, poitrine crue",253,17,20.5,0
kielbasa,kiełbasa,kiełbasa|kiełbasy|kiełbasę|kiełbasą|kiełbasa wędzona|kiełbasy wędzonej|kiełbasa zwyczajna|kiełbasy zwyczajnej|kiełbasa podwawelska|kiełbasy podwawelskiej|kiełbasa śląska|kiełbasy śląskiej|kiełbasa krakowska|kiełbasy krakowskiej|kiełbasa biała|kiełbasy białej|biała kiełbasa|białej kiełbasy|kiełbaska|kiełbaski|kabanosy|kabanosów,usda,172954,,0,"Sausage, Polish, pork and beef, smoked",301,12.07,26.56,1.98
parowki,parówki,parówka|parówki|parówek|serdelki|serdelków,ciqual,30050,,0,Chair à saucisse crue,323,14.7,29.1,0.6
szynka,szynka,szynka|szynki|szynką|szynka gotowana|szynki gotowanej|szynka wędzona|szynki wędzonej|szynka konserwowa|szynki konserwowej|plasterki szynki|plasterków szynki,ciqual,28900,,0,"Jambon cuit, supérieur",113,21,2.83,0.76
kaszanka,kaszanka,kaszanka|kaszanki|kaszankę,ciqual,8703,,0,"Boudin noir, à cuire",297,12.2,27.1,0.29
sledz,śledź,śledź|śledzia|śledzie|śledzi|filety śledziowe|filetów śledziowych|filet śledziowy|matiasy|matiasów|śledzie solone|śledzi solonych|śledzie a'la matjas,ciqual,26011,,0,"Hareng, cru",176,17.7,11.7,0
sledz_marynowany,śledź marynowany,śledź marynowany|śledzie marynowane|śledzi marynowanych|rolmopsy|rolmopsów,ciqual,26010,,0,"Hareng mariné ou rollmops, préemballé",189,13.7,13.8,1.95
dorsz,dorsz,dorsz|dorsza|dorszem|filet z dorsza|filety z dorsza|filetu z dorsza|filetów z dorsza,ciqual,26043,,0,"Cabillaud, cru",77.4,18.1,0.57,0
mintaj,mintaj,mintaj|mintaja|filet z mintaja|filety z mintaja|filetu z mintaja|filetów z mintaja|morszczuk|morszczuka|ryba biała|ryby białej|filet rybny|filety rybne|filetu rybnego|ryba|ryby|rybę|kawałki ryby|kawałków ryby,ciqual,26006,,0,"Lieu ou colin d'Alaska, cru",72.6,16.3,0.61,0.51
losos,łosoś,łosoś|łososia|łososiem|filet z łososia|filety z łososia|filetu z łososia|filetów z łososia,ciqual,26036,,0,"Saumon, élevage, cru",193,20.5,12.4,0
losos_wedzony,łosoś wędzony,łosoś wędzony|łososia wędzonego|wędzony łosoś|wędzonego łososia,ciqual,25993,,0,"Saumon fumé, à l'aneth et au citron",201,21.2,12.8,0.37
makrela,makrela,makrela|makreli|makrelę|makrela wędzona|makreli wędzonej|wędzona makrela|wędzonej makreli,ciqual,26051,,0,"Maquereau, cru",198,18.1,13.5,0.93
karp,karp,karp|karpia|karpiem|dzwonka karpia|dzwonek karpia|filet z karpia,ciqual,27003,,0,"Carpe,  élevage, crue",114,17.7,4.76,0
pstrag,pstrąg,pstrąg|pstrąga|pstrągi|pstrągów,ciqual,27009,,0,"Truite arc en ciel, élevage, crue",132,19,6.24,0
tunczyk,tuńczyk z puszki,tuńczyk|tuńczyka|tuńczyk w sosie własnym|tuńczyka w sosie własnym|tuńczyk z puszki|tuńczyka z puszki,ciqual,26039,,0,"Thon, au naturel, appertisé, égoutté",143,26.8,3.94,0
sardynki,sardynki w oleju,sardynki|sardynek|sardynki w oleju|sardynek w oleju|szproty|szprotów|szprotki|szprotek,ciqual,26034,,0,"Sardine, à l'huile, appertisée, égouttée",217,23.3,13.7,0.31
krewetki,krewetki,krewetki|krewetek|krewetkami,ciqual,10007,,0,"Crevette, cuite",91.3,20.5,0.79,0.2
oliwki,oliwki,oliwki|oliwek|oliwki zielone|oliwek zielonych|oliwki czarne|oliwek czarnych|czarne oliwki|czarnych oliwek|zielone oliwki|zielonych oliwek,ciqual,13186,,0,Olive noire (aliment moyen),182,1.41,18,0.26
kapary,kapary,kapary|kaparów,usda,172238,,1,"Capers, canned",23,2.36,0.86,4.89
gnocchi,gnocchi,gnocchi,ciqual,26264,,0,"Gnocchi à la pomme de terre, à cuire",176,4.66,1.42,35
